0;311
0;340
0;462
0;1005
0;1291
0;1343
0;1359
0;1363
0;1568
0;1632
0;2074
0;2106
0;2306
0;2318
1;68
1;199
1;242
1;463
1;615
1;632
1;700
1;812
1;835
1;988
1;1281
1;1468
1;1810
1;1869
1;1919
1;1973
1;2367
1;2370
2;41
2;136
2;321
2;413
2;418
2;459
2;522
2;677
2;746
2;762
2;784
2;917
2;984
2;1047
2;1419
2;1624
2;1699
2;2309
2;2310
3;287
3;1149
3;1205
3;1280
3;1338
3;1428
3;1490
3;1576
3;1685
3;2167
3;2321
3;2364
4;154
4;220
4;280
4;331
4;408
4;455
4;518
4;631
4;756
4;862
4;943
4;1009
4;1139
4;1260
4;1282
4;1401
4;1412
4;1539
4;1622
4;1732
4;1781
4;1897
4;2126
4;2180
5;406
5;707
5;722
5;1016
5;1104
5;1417
5;1537
5;1555
5;1556
5;1599
5;1676
5;1854
5;1925
5;2007
5;2052
5;2152
5;2185
5;2190
5;2361
5;2376
6;275
6;380
6;732
6;788
6;1166
6;1709
6;1753
6;1763
6;1837
7;354
7;896
7;1637
7;1862
7;1939
7;1956
7;2184
8;174
8;308
8;429
8;458
8;507
8;749
8;805
8;807
8;1151
8;1460
8;1464
8;1486
8;1725
8;1775
8;2145
9;305
9;436
9;735
9;761
9;830
9;950
9;1001
9;1026
9;1150
9;1221
9;1271
9;1532
9;2284
10;76
10;344
10;502
10;1169
10;1396
10;1449
10;1618
10;1738
10;2134
10;2341
11;38
11;141
11;362
11;488
11;570
11;713
11;778
11;975
11;1118
11;1155
11;1190
11;1424
11;1606
11;1967
11;1987
11;2113
11;2141
11;2155
11;2195
12;313
12;538
12;627
12;642
12;701
12;773
12;952
12;1021
12;1223
12;1237
12;1504
12;1554
12;1590
12;1591
12;1834
12;1948
12;2003
12;2011
12;2131
13;70
13;277
13;290
13;513
13;542
13;580
13;594
13;682
13;985
13;1153
13;1200
13;1229
13;1392
13;1539
13;1671
13;1747
13;1928
13;1960
13;2068
14;90
14;309
14;426
14;835
14;852
14;978
14;1209
14;1384
14;1569
14;1606
14;1628
14;2122
14;2159
14;2306
15;68
15;199
15;296
15;374
15;1058
15;1177
15;1235
15;1286
15;1290
15;1751
15;1814
15;1977
15;2070
15;2312
16;224
16;449
16;576
16;579
16;672
16;1358
16;1465
16;1561
16;1827
17;181
17;614
17;1030
17;1093
17;1244
17;1517
17;2212
18;69
18;228
18;258
18;506
18;517
18;784
18;787
18;1126
18;1215
18;1241
18;1409
18;1497
18;1529
18;1570
18;1594
18;1657
18;1666
18;1731
18;2004
18;2012
18;2155
18;2232
18;2372
19;40
19;392
19;515
19;526
19;681
19;818
19;970
19;1032
19;1261
19;1266
19;1298
19;1311
19;1369
19;1520
19;1616
19;1951
19;2180
19;2196
19;2307
20;85
20;140
20;197
20;717
20;891
20;1250
20;1315
20;1596
20;1834
20;1993
20;2209
21;157
21;338
21;341
21;396
21;557
21;694
21;750
21;810
21;852
21;1258
21;1303
21;1375
21;1494
21;1595
21;1947
21;2241
22;57
22;119
22;174
22;660
22;688
22;1291
22;1339
22;1499
22;1513
22;1829
22;1832
22;1977
22;2249
22;2259
23;146
23;187
23;305
23;312
23;359
23;423
23;484
23;717
23;840
23;979
23;1084
23;1520
23;1655
23;1827
23;1926
23;2115
23;2236
23;2377
24;69
24;174
24;352
24;459
24;465
24;474
24;479
24;480
24;506
24;517
24;620
24;809
24;1114
24;1291
24;1316
24;1577
24;1607
24;1692
24;1747
24;2133
24;2217
24;2316
24;2385
25;224
25;424
25;612
25;624
25;819
25;951
25;1000
25;1031
25;1033
25;1214
25;1226
25;1820
25;1850
25;1874
25;1875
25;1889
25;1907
25;1950
26;63
26;323
26;412
26;519
26;620
26;668
26;762
26;771
26;787
26;887
26;1316
26;1367
26;1373
26;1463
26;1464
26;1693
26;1701
26;1721
26;2066
26;2132
26;2192
26;2233
26;2358
27;349
27;455
27;544
27;636
27;663
27;1020
27;1074
27;1362
27;1660
27;1797
27;1918
27;2127
27;2159
27;2360
27;2370
28;59
28;229
28;429
28;689
28;1157
28;1321
28;1402
28;1492
28;2034
29;354
29;390
29;428
29;631
29;667
29;1517
29;1595
29;1781
29;1806
29;1871
29;2126
29;2163
29;2352
30;353
30;769
30;988
30;1073
30;1281
30;1314
30;1349
30;1512
30;1605
30;1719
30;1737
30;1829
30;1954
30;1972
30;2157
30;2295
31;221
31;497
31;652
31;777
31;1115
31;1305
31;1321
31;1329
31;1333
31;1426
31;1496
31;1664
31;1669
31;1735
31;1783
31;1870
31;2026
31;2304
32;57
32;90
32;94
32;100
32;365
32;505
32;589
32;662
32;728
32;873
32;877
32;930
32;1002
32;1126
32;1457
32;1637
32;1733
32;1907
32;2093
32;2140
32;2189
32;2211
32;2332
33;128
33;140
33;235
33;317
33;340
